Accession	Organism_Name	Species	Genus	Family	Genotype	Isolate	Segment	Length	Country	Host	Tissue_Specimen_Source	Collection_Date	Release_Date	Molecule_type
NC_028478	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Tom1-Jo		6393	Jordan	Solanum lycopersicum		2015-04-17	2015-12-03	ssRNA(+)
PX505945	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		DSMZ PV-1236		6388	Germany	Solanum lycopersicum			2026-01-26	ssRNA(+)
PX505946	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		DSMZ PV-1244		6388	Germany	Nicotiana tabacum			2026-01-26	ssRNA(+)
PX593793	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HU3		6384	Hungary	Solanum lycopersicum	plant leaf	2022-04-20	2026-01-18	ssRNA(+)
PX593794	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HU6		6384	Hungary	Solanum lycopersicum	plant leaf	2022-04-20	2026-01-18	ssRNA(+)
PX593795	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HU7		6384	Hungary	Solanum lycopersicum	plant leaf	2022-05-02	2026-01-18	ssRNA(+)
PX601172	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		WZLX-LC1		2527	China	Solanum lycopersicum		2024-10-24	2025-12-13	ssRNA(+)
PX601173	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		WZLX-LC2		541	China	Solanum lycopersicum		2024-10-24	2025-12-13	ssRNA(+)
PX601174	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		WZLX-LC3		958	China	Solanum lycopersicum		2024-10-24	2025-12-13	ssRNA(+)
PX601175	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		WZLX-LW1		555	China	Solanum lycopersicum		2024-10-24	2025-12-13	ssRNA(+)
PX601176	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		WZLX-LW2		1548	China	Solanum lycopersicum		2024-10-24	2025-12-13	ssRNA(+)
PX601177	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		WZLX-LW3		896	China	Solanum lycopersicum		2024-10-24	2025-12-13	ssRNA(+)
PV389005	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 6248306		6354	Netherlands	Solanum lycopersicum	fruit	2024-04-22	2025-12-10	ssRNA(+)
PV389006	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 6248672		6354	Netherlands	Solanum lycopersicum	plant leaf	2024-04-22	2025-12-10	ssRNA(+)
PV389007	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 6248680		6354	Netherlands	Solanum lycopersicum	plant leaf	2024-04-22	2025-12-10	ssRNA(+)
PV389008	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 32854932		6382	Canada	Solanum lycopersicum	plant leaf	2023-10-02	2025-12-10	ssRNA(+)
